Date,Name,Description,New to Fora,Continent,Country ,Region,Partner,Style,Season,< $500 option(s),Magic Content,Instagram In-Feed,Instagram Story,Non-Editable Assets,Video Template,PDF Template,Mailchimp,Notes,Article Title (Fora HQ reference)
20-Dec-24,Destination Debrief: Antarctica,Comprehensive travel guide to Antarctica,No,Antarctica,N/A,Antarctic,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet ,Mailchimp template,,Insider's Guide to Antarctica
18-Dec-24,New York Glamour Hotels,"A roundup of NYC's lates opening and reopenings, marking the return to the city's glamour days. ",No,North America,United States,NYC/New York City,Multiple,General ,General,No,Magic article,,,,,,,,
13-Dec-24,Destination Debrief: Miami,Comprehensive travel guide to Miami,No,North America,United States,Florida,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet ,Mailchimp template,,Insider's Guide to Miami
10-Dec-24,December Partner Roundup,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"Announcing the Newest Fora Reserve Partners: Anguilla, Dublin, London and More"
6-Dec-24,Destination Debrief: Japan,Comprehensive travel guide to Japan,No,Asia,Japan,Japan,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Japan
3-Dec-24,Michelin Keys in Canada,List of Canadian hotels awarded Michelin Keys,No,North America,Canada,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider's Guide to the Top Michelin Keys Hotels in Canada
2-Dec-24,December Openings & Renovations to Experience Now,"Round-up of our favorite recent hotel openings, plus timely offers to promote this month.",No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,December Openings & Renovations to Experience Now
27-Nov-24,Travel Tuesday,Share these Travel Tuesday deals with clients.,No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,
26-Nov-24,Everything You Need to Know About the UK ETA,"Common questions clients will ask about the UK's ETA requirement, which goes into effect on January 8th.",No,Europe,England,London,N/A,General ,General,N/A,Magic article,,,,,,Mailchimp template,,Everything You Need to Know About the UK ETA
22-Nov-24,Destination Debrief: Riviera Maya,Comprehensive travel guide to Riviera Maya,No,North America,Mexico,Riviera Maya,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet ,Mailchimp template,,Insider's Guide to Riviera Maya
20-Nov-24,Hotels under $500 in Riviera Maya,Hotels under $500 in Riviera Maya,No,North America,Mexico,Riviera Maya,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels Under $500 in Riviera Maya
15-Nov-24,Destination Debrief: Cruises,Comprehensive travel guide to cruises,No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet,Mailchimp template,,Insider's Guide to Cruises
11-Nov-24,November Partner Roundup,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"Fora’s Latest Reserve Partners: Beach, City, Country & More"
8-Nov-24,Destination Debrief: Italian Lakes,Comprehensive travel guide throughout the Italian Lakes,No,Europe,Italy,Northern Italy,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet,Mailchimp template,,Definitive Guide: Italian Lakes
5-Nov-25,Last-minute sunny getaways,Available resorts for festive sunny holidays,No,Multiple,Multiple,Multiple,Multiple,General ,Festive,No,Magic article,,,,,,,,Last-Minute Sunny Getaways for Winter Break
4-Nov-24,Last-minute ski getaways,Available resorts for festive ski holidays,No,Multiple,Multiple,Multiple,Multiple,General ,Festive,Yes,Magic article,,,,,,,,Insider Tips for Last-Minute Ski Getaways
4-Nov-24,Michelin Keys in Mexico,Our favorite Michelin-Key hotels in Mexico.,No,North America,Mexico,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,My Favorite Michelin Key Hotels in Mexico
4-Nov-24,November Openings & Offers,"Round-up of our favorite recent hotel openings, plus timely offers to promote this month.",No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"November Openings and Offers: NYC, Italy, Vienna and More"
1-Nov-24,Destination Debrief: New Orleans,Comprehensive travel guide to New Orleans,No,North America,United States,Louisiana,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet,Mailchimp template,,Definitive Guide: New Orleans
29-Oct-24,October Partner Round-up #2,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"Announcing the Latest Fora Reserve Members: Sardinia, Santorini, Portland & More"
25-Oct-24,Destination Debrief: Barbados,Comprehensive travel guide to Barbados,No,Caribbean ,Barbados,Caribbean,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet,Mailchimp template,,Definitive Guide: Barbados
23-Oct-24,NYC Hotels Under $500,Hotels in NYC with rates <$500 (except for holidays),No,North America,United States,NYC/New York City,Multiple,General ,General,Yes,Magic Article,,,,,,,,An Insider's Guide to Hotels Under $500: New York City
21-Oct-24,Haunted Hotels,Roundup of haunted hotels for Spooky Seasons,No,North America,United States,Multiple,Multiple,General ,Fall,Yes,Magic article,,,,,,,,Spend Spooky Season at These Haunted Hotels
18-Oct-24,"Portland, ME hotels","Roundup of our favorite hotels in Portland, Maine",No,North America,United States,Maine,Multiple,General ,General,Yes,Magic article,,,,,,,,
17-Oct-24,Cuffing Season,Romantic domestic hotels,No,North America,United States,Multiple,Multiple,Couples,General,No,Magic article,,,,,,,,
15-Oct-24,October Partner Round-up #1,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
11-Oct-24,Destination Debrief: Dominican Republic,Comprehensive travel guide to the Dominican Republic,No,Central America,Dominican Republic,Caribbean,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet,Mailchimp template,,Definitive Guide: Dominican Republic
7-Oct-24,Sedona Hotels,An insider's guide to Sedona's best hotels.,No,North America,United States,Arizona,Multiple,General ,General,Yes,Magic article,,,,,,,,My Insider Guide to Sedona Hotels
7-Oct-24,October Openings & Offers,"Round-up of our favorite recent hotel openings, plus timely offers to promote this month.",No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"October Openings & Offers: Art, Abbeys, Pools & Palazzos"
4-Oct-24,Destination Debrief: Nordic Region & the Northern Lights,Comprehensive travel guide to the Nordic Region & the Northern Lights,No,Europe,Multiple,Nordic,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Hot Sheet,Mailchimp template,,Definitive Guide: Nordic Region & the Northern Lights
3-Oct-24,Harvest Season for Wine Destinations,Where to go for wine lovers,No,Multiple,Multiple,Multiple,Multiple,General ,Fall,No,Magic article,,,,,,,,Insider's Guide to Harvest Season for Wine Destinations
27-Sep-24,Destination Debrief: U.S. Ski Destinations,"Comprehensive travel guide to U.S. Ski Destinations (eat, play, stay)",No,North America,United States,Multiple,Multiple,Destination Debrief,Winter,Yes,Magic article,Instagram in-feed,Instagram story,,,Hot Sheet,Mailchimp template,,Definitive Guide: U.S. Ski Destinations
23-Sep-24,September Partner Round-up #2,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,"Fora’s Newest Reserve Partners: Greek Getaways, Nicaraguan Resorts, Tuscan Retreats & More"
15-Oct-25,Where to Go for Thanksgiving 2025: From Wine Country to the Caribbean,Where to go for this year's Thanksgiving vacation.,No,Multiple,Multiple,Multiple,Multiple,General ,Fall,No,Magic article,,,,,,,,Where to Go for Thanksgiving 2025: From Wine Country to the Caribbean
18-Sep-24,Destination Debrief: Puerto Vallarta,"Comprehensive travel guide to Puerto Vallarta (eat, play, stay)",No,North America,Mexico,Jalisco,Multiple,Destination Debrief,General ,Yes,Magic article,Instagram in-feed,Instagram story,,,1: Sample itinerary 2: Hot Sheet,Mailchimp template,,An Insider's Guide to Puerto Vallarta
16-Sep-24,Cruise Specials to Book Now,Roundup of timely cruise offers and promotions.,No,Multiple,Multiple,Multiple,Multiple,Cruise,General ,No,Magic article,,,,,,,,Cruise Specials to Book Now
16-Sep-24,Insider Intel on New Flights to Sunny Destinations,"New flight routes, more destinations and where to stay in each.",No,Multiple,Multiple,Multiple,Multiple,General ,General ,Yes,Magic article,,,,,,,,Insider Intel on New Flights to Sunny Destinations
13-Sep-24,Destination Debrief: Barcelona,"Comprehensive travel guide to Barcelona (eat, play, stay)",No,Europe,Spain,Barcelona,Multiple,Destination Debrief,General ,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,An Insider's Guide to Barcelona
9-Sep-24,Michelin Key Hotels in Japan,A roundup of our favorite Michelin Key hotels in Japan.,No,Asia,Japan,Multiple,Multiple,General ,General ,Yes,Magic article,,,,,,,,My Favorite Michelin Key Hotels in Japan
6-Sep-24,Destination Debrief: Rome,"Comprehensive travel guide to Rome (eat, play, stay)",No,Europe,Italy,Rome,Multiple,Destination Debrief,General ,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,An Insider's Guide to Rome
4-Sep-24,September Partner Round-up #1,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General ,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"The Latest Fora Reserve Partners, from Jungle Escapes to City Gems"
3-Sep-24,September Openings & Offers,"Round-up of our favorite recent hotel openings, plus timely offers to promote this month.",No,Multiple,Multiple,Multiple,Multiple,General ,General ,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"September Openings & Offers: Palazzos, Music & More"
3-Sep-24,Guide to Epic & Ikon Passes,Where to ski and stay on the Epic vs. Ikon Passes,No,North America,Multiple,Multiple,Multiple,Adventure,Winter,Yes,Magic article,,,,,,,,My Ultimate Guide to Where to Ski (and Stay) on the Epic & Ikon Passes
28-Aug-24,Destination Debrief: Costa Rica ,"Comprehensive travel guide to Costa Rica (eat, play, stay)",No,Central America,Costa Rica,Central America,Multiple,Destination Debrief,General ,No,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,An Insider's Guide to Where to Stay & Go in Costa Rica
26-Aug-24,Destination Debrief: Chile & Patagonia,"Comprehensive travel guide to the Chilean Patagonia (eat, play, stay) ",No,South America,Chile,Patagonia,Multiple,Destination Debrief,General ,No,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,An Insider's Guide to Where to Stay & Go in Chilean Patagonia
26-Aug-24,August Partner Roundup #2,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Multiple,General ,General ,Yes,Magic article,,,,,,,,"Fora's Newest Partners, from Cave Hotels to London Townhouses"
22-Aug-24,Top Trends in Cruising,Current trends for cruises,No,Multiple,Multiple,Multiple,Multiple,General ,General ,No,Magic article,,,,,,,,Top Trends in Cruising: From Expeditions to Themed Ships
16-Aug-24,Destination Debrief: Florence,"Comprehensive travel guide to Florence (eat, play, stay) ",No,Europe,Italy,Florence,Multiple,Destination Debrief,General ,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,"An Insider's Guide to Where to Go, Eat and Stay in Florence"
12-Aug-24,August Partner Roundup #1,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Multiple,General ,General ,Yes,Magic article,,,,,,,,
9-Aug-24,Destination Debrief: Kenya,"Comprehensive travel guide to Kenya (eat, play, stay) ",No,Africa,Kenya,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,"An Insider's Guide to Where to Stay, Eat & Go in Kenya"
7-Aug-24,Where to Go for a Long October Weekend,"Fall weekend getaways in South Carolina, New Mexico, Tahoe, Scottsdale and Montréal",No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,Where to Go for an October Long Weekend
6-Aug-24,Favorite Residences Around the World,"Fora's top 10 villas and residences around the world. Fearured properties in Greece, Lake Tahoe, Italy, Colorado, Mexico, Oman and Wyoming.",No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,My Favorite Residences Around the World
5-Aug-24,August Openings & Offers,"Round-up of our favorite recent hotel openings, plus timely offers to promote this month.",No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"Wellness, Pets & Far-Flung Escapes: August Openings & Offers"
30-Jul-24,July Cruise Offers,Round-up of timely cruise offers to promote this month.,No,Multiple,Thailand,Multiple,,Cruise,General,No,Magic article,,,,,,,,Cruise Offers and Experiences for Summer and Beyond
30-Jul-24,12 Places to Visit in Fall,"Where to go and where to stay for a fall getaway, both in the US and abroad.",No,Multiple,Multiple,Multiple,Multiple,General ,Fall,No,Magic article,,,,,,,,12 Places to Visit in Fall
25-Jul-24,Argentina Hotel Round-Up,A few of our favorite hotels in Argentina,No,South America,Argentina,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,10 Best Hotels in Argentina
23-Jul-24,July Partner Round-Up #2,Round-up of Fora's latest Fora Reserve partners,No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,
12-Jul-24,"Destination Debrief: Washington, DC","Comprehensive travel guide to Washington, DC (eat, play, stay) ",No,North America,United States,"Washington, DC",Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Stay, Eat & Play in Washington, DC"
11-Jul-24,London Hotel Round-Up,"Round-up of a few favorite hotels in London, England, United Kingdom. ",No,Europe,England,London,Multiple,General ,General,Yes,Magic article,,,,,,,,7 Best Hotels in London
9-Jul-24,July Partner Round-Up #1,Round-up of Fora's latest Fora Reserve partners,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,,,,,,,,"Announcing Fora’s Newest Partners, from Renovated Monasteries to Urban Delights"
8-Jul-24,Pre- and post-Olympics travel,Where to stay before or after the Paris Olympics,No,Europe,France,Multiple,Multiple,General ,Summer,Yes,Magic article,,,,,,Mailchimp template,,5 Places to Escape the Crowds Before (or After) the Olympics
8-Jul-24,Where to stay during Taylor Swift's Era's Tour,Round-up of splurge-worthy and apprachably priced hotels in upcoming concert cities,No,Europe,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,Where to Stay for a Last-Minute Eras Tour Trip
3-Jul-24,St. Kitts & Nevis Hotel Round-Up,Round-up of where to stay on St. Kitts & Nevis,No,Caribbean ,St. Kitts & Nevis,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,Where to Stay in St. Kitts & Nevis
28-Jun-24,Destination Debrief: Montana & National Parks,Comprehensive travel guide to Montana and nearby national parks,No,North America,United States,Montana,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play Near Montana's National Parks"
28-Jun-24,July Openings & Offers,"Round-up of our favorite recent hotel openings, plus timely offers to promote this month.",No,Multiple,Multiple,Multiple,Multiple,General ,Summer,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"Luxe Trains, Japanese Retreats & Aegean Escapes: July Openings & Offers"
28-Jun-24,Spotlight on the Rosewood London,Spotlight on Rosewood's property in London,No,Europe,England,London,Rosewood,General ,General,No,Magic article,,,,,,,,
24-Jun-24,Michelin Key Hotels in Spain,Fora Advisors can unlock perks at most of the Michelin Key properties. We've rounded up a few favorite picks in Spain.,No,Europe,Spain,Multiple,Multiple,General ,General,Yes,Magic article,,,,,N/A,,,My Favorite Michelin Key Hotels in Spain
21-Jun-24,St. Barths Travel Tips,"FAQs including things like how to get there, when to travel, general costs, etc. ",No,Caribbean ,St. Barths,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,Tips to Get to the Island of St. Barth's
21-Jun-24,Destination Debrief: St. Barth's,"Comprehensive travel guide to St. Barth's (eat, play, stay) ",No,Caribbean ,St. Barths,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet
",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Stylish St. Barth's"
20-Jun-24,Summer Road Trip Ideas,4 ideas (and where to stay) for road trips ,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,No,Magic article,,,,,N/A,,,4 Underrated Destinations for Summer Road Trips
17-Jun-24,Favorite Michelin Key Hotels in France,Fora Advisors can unlock perks at most of the Michelin Key properties. We've rounded up a few favorite picks in France.,No,Europe,France,Multiple,Multiple,General ,General,Yes,Magic article,,,,,N/A,,,My Favorite Michelin Key Hotels in France
14-Jun-24,Destination Debrief: Paris,"Comprehensive travel guide to Paris as a whole (eat, play, stay) ",No,Europe,France,Paris,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itnerary
2: Hot Sheet",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Paris"
12-Jun-24,Favorite Michelin Key Hotels in Italy,Fora Advisors can unlock perks at most Michelin Key hotels. We've rounded up a few favorite picks in Italy,No,Europe,Italy,Multiple,Multiple,General ,General,Yes,Magic article,,,,,N/A,Mailchimp template,,A Few Favorite Michelin Key Hotels in Italy
12-Jun-24,Favorite Michelin Key Hotels in the US,Fora Advisors can unlock perks at most Michelin Key hotels. We've rounded up a few favorite picks in the United States,No,North America,United States,Multiple,Multiple,General ,General,Yes,Magic article,,,,,N/A,,,My Favorite Michelin Key Hotels in the US
11-Jun-24,Fora’s Newest Preferred Partnerships,Round-up of our latest Fora Reserve partners and/or preferred partnerships.,Yes,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,,,,,N/A,,,"Fora’s Newest Preferred Partnerships: European Gems, Resorts & Urban Icons"
7-Jun-24,Destination Debrief: Mexico City,"Comprehensive travel guide to Mexico City as a whole (eat, play, stay) ",No,North America,Mexico,Mexico City,Multiple,Destination Debrief,General,Yes,Magic article,,,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Mexico City"
7-Jun-24,Destination Debrief: Mexico City,"Comprehensive travel guide to Mexico City (eat, play, stay) ",No,North America,Mexico,Mexico City,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,"An Insider’s Guide to Where to Eat, Stay & Play in Mexico City"
31-May-24,Destination Debrief: South Africa,"Comprehensive travel guide to South Africa as a whole (eat, play, stay) ",No,Africa,South Africa,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider’s Guide to Where to Eat, Stay & Play in South Africa"
24-May-24,Destination Debrief: Charleston & Savannah,"Comprehensive travel guide to Charleston & Savannah as a whole (eat, play, stay) ",No,North America,United States,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Charleston & Savannah"
24-May-24,Destination Debrief: Charleston & Savannah,"Comprehensive travel guide to Charleston, South Carolina and Savannah, Georgia (eat, play, stay) ",No,North America,United States,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",,,"An Insider's Guide to Where to Stay, Go & Eat in Charleston & Savannah"
20-May-24,Warren Street Hotel Spotlight,Spotlight on Warren Street Hotel in New York City. This is the newest addition to Firmdale's family. ,No,North America,United States,NYC/New York City,Fora Reserve,General ,General,No,Magic article,,,,,,,,Warren Street Hotel: One of Manhattan’s Most Stylish Hotels Yet
17-May-24,Destination Debrief: Croatia,"Comprehensive travel guide to Croatia as a whole (eat, play, stay) ",No,Europe,Croatia,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet ",,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Stay, Eat & Go in Croatia"
10-May-24,Destination Debrief: Sicily,"Comprehensive travel guide to Sicily as a whole (eat, play, stay) ",No,Europe,Italy,Sicily,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Sicily"
10-May-24,Destination Debrief: Sicily,"Comprehensive travel guide to Sicily, Italy as a whole (eat, play, stay) ",No,Europe,Italy,Sicily,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",,,"An Insider's Guide to Where to Eat, Stay & Play in Sicily"
9-May-24,Eco-Friendly Experiences to Book This Summer,"Round-up of eco-friendly experiences at hotels in Nevis, Maldives, Mexico, Italy, Utah, Hawaii",No,Multiple,Multiple,Multiple,Multiple,Sustainable,Summer,No,Magic article,,,,,N/A,,,6 Eco-Friendly Travel Experiences to Book This Summer
3-May-24,Destination Debrief: Las Vegas,"Comprehensive travel guide to Las Vegas, Nevada (eat, play, stay) ",No,North America,United States,Nevada,Multiple,Destination Debrief,General,Yes,Magic article,,,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Las Vegas"
3-May-24,Auberge’s Primland Resort Spotlight,Spotlight on Auberge’s Primland Resort in Virginia's Blue Ridge Mountains,No,North America,United States,Virginia,Auberge,General ,General,No,Magic article,N/A,N/A,,,N/A,N/A,,"Run, Don't Walk, to Auberge’s Primland Resort"
26-Apr-24,Destination Debrief: Amsterdam,"Comprehensive travel guide to Amsterdam as a whole (eat, play, stay) ",No,Europe,Netherlands,Amsterdam,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Amsterdam"
26-Apr-24,Destination Debrief: Amsterdam,"Comprehensive travel guide to Amsterdam, Netherlands as a whole (eat, play, stay) ",No,Europe,Netherlands,Amsterdam,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,,"An Insider's Guide to Where to Eat, Stay & Play in Amsterdam"
26-Apr-24,Hotel Jerome Hotel Spotlight,"Spotlight on Hotel Jerome in Aspen, Colorado",No,North America,United States,Colorado,Multiple,General ,General,No,Magic article,,,,,,,,"Auberge’s Hotel Jerome, Aspen, is the Luxe Mountain Retreat of My Dreams"
22-Apr-24,"Guide to Essaouira, Morocco","Hotels & things to do in Essaouira, Morocco (a relaxed, seaside destination) ",No,Africa,Morocco,Essaouira,Multiple,General ,General,Yes,Magic article,,,,,,,,"My Guide to Essaouira, Morocco: Hotels & Things to Do"
19-Apr-24,Sustainable travel inspiration,"Share properties, destinations and activities with a more sustainably minded ethos, plus general tips for each.",No,Multiple,Multiple,Multiple,Multiple,Sustainable,General,No,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet

",Mailchimp template,,An Insider's Guide to Sustainable Travel
19-Apr-24,Sustainable travel tips,"Tips to travel more sustainably before, during and after your client's trip. ",No,Multiple,Multiple,Multiple,Multiple,Sustainable,General,No,Magic article,,,,,,,,Sustainable Travel Tips For a More Mindful & Impactful Vacation
19-Apr-24,Destination Debrief: Sustainable Travel,"Comprehensive travel guide for Sustainable Travel as a whole (eat, play, stay) ",No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,Yes,"1. Magic article
2. Magic article",Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet ",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients.,"1. An Insider's Guide to Sustainable Travel
2. Sustainable Travel Tips For a More Mindful & Impactful Vacation"
18-Apr-24,Morocco Itinerary Ideas,4 Ideas for a Culture-Filled Morocco Itinerary,No,Africa,Morocco,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,4 Ideas for a Culture-Filled Morocco Itinerary
12-Apr-24,6 Underrated Summer Travel Ideas to Avoid Crowds,"Budapest, Denmark, Mani Peninsula (Greece), Prague, Puerto Rico, Toronto, ",No,Multiple,Multiple,Multiple,Multiple,General ,Summer,Yes,Magic article,,,,,N/A,Mailchimp template,,6 Underrated Summer Travel Ideas to Avoid Crowds And Venture Off the Beaten Path
12-Apr-24,Destination Debrief: Palm Springs,"Comprehensive travel guide to Palm Springs, California (eat, play, stay) ",No,North America,United States,California,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,"1: Sample itinerary
2: Hot Sheet",Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in Palm Springs"
12-Apr-24,Four Seasons Scottsdale Spotlight,Spotlight on the Four Seasons Resort Scottsdale at Troon North (Arizona) ,No,North America,United States,Arizona,Four Seasons,General ,General,Yes,Magic article,,,,,,,,Why I Love the Four Seasons Resort Scottsdale at Troon North
9-Apr-24,Places to visit in Morocco,Morroco travel inspiration (6 places to visit) ,No,Africa,Morocco,Multiple,Multiple,General ,General,Yes,Magic article,,,,,,,,Morocco’s 6 Best Places to Visit
5-Apr-24,Destination Debrief: New Zealand,"Comprehensive travel guide to New Zealand as a whole (eat, play, stay) ",No,Oceania,New Zealand,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,,,,,1: Sample itinerary,Mailchimp template,All recommended spots are in Google Maps & can also be shared with clients. ,"An Insider's Guide to Where to Eat, Stay & Play in New Zealand"
5-Apr-24,Spotlight on Aman properties in Japan,"Spotlight on Aman Tokyo, Janu Tokyo, Amanemu, Aman Kyoto",No,Asia,Japan,Multiple,Aman,General ,General,No,Magic article,,,,,,,,Aman Japan: My Guide to Traveling to Japan — the Aman Way
